"","V1","V2","V3","V4"
"672","Ro06mupVTyQ","2023-08-29T23:12:53Z","KPRC 2 Click2Houston","UCKQECjul8nw1KW_JzfBTP1A"
"673","wXLEzwcih1o","2023-09-01T12:44:28Z","FRANCE 24 English","UCQfwfsi5VrQ8yKZ-UWmAEFg"
"674","BTwML5sOgKQ","2023-08-31T22:33:20Z","KVUE","UCxXTyFekH99JnS3qaXIQW7A"
"675","rTXVxdC46Yo","2023-09-02T03:08:01Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"676","FVHGcp9WdLA","2023-09-03T11:39:57Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"677","_X13qvMlpi0","2023-09-03T15:48:42Z","CBS Colorado","UC_-gT7OYiRCK9Sp8SIv9WgQ"
"678","dHYj-BBpOLk","2023-09-03T11:44:04Z","WION","UC_gUM8rL-Lrg6O3adPW9K1g"
"679","2DDeEeSfl50","2023-09-03T22:16:56Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"680","iQt4lfSLSl4","2023-09-04T00:07:36Z","FOX 5 Washington DC","UCHLyP4MuA-JAFBCwxXOEDdA"
"681","M0dl4bSHJZA","2023-09-04T03:26:00Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"682","FtmW6Yspsoo","2023-09-04T21:57:31Z","CBS Chicago","UCkBS_xU1WQ7FVsDoQ_OPeDg"
"683","5C5urkaezMs","2023-09-05T01:07:41Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"684","XGQtQoURia4","2023-09-04T16:42:17Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q"
"685","umxdDfXT9l0","2023-09-05T02:02:06Z","AP Archive","UCHTK-2W11Vh1V4uwofOfR4w"
"686","lbY0mbtUlUU","2023-09-04T22:18:06Z","KRIS 6 News","UCvM_k1scQ1YU50HiQc-4xyg"
"687","DXOn3EQM5PY","2023-09-05T12:23:20Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"688","gsQO2v8Kmpo","2023-09-07T00:34:47Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g"
"689","MFfaqRDWDAw","2023-09-07T01:10:25Z","ABC10","UCT350j4u6alUKyF9eu2bGug"
"690","CnpCtdkdXEI","2023-09-07T01:16:12Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g"
"691","HIRE5OFuuYM","2023-09-07T03:22:59Z","KHOU 11","UCXwRxm0zS0jBNTMOVI6xZJw"
"692","xu0SVhdgKMY","2023-09-07T13:50:39Z","KTVU FOX 2 San Francisco","UCVhtkN7-c8mA8GXEoxS4YQw"
"693","rTlwLgP_onU","2023-09-07T12:57:30Z","KCCI","UCKATGvvbOznaWNZcOBCLGng"
"694","g4rCatwIiuw","2023-09-07T05:17:14Z","CBS News Sacramento","UCxZMOY2RdtK6LQUbIYgec4A"
"695","RoA_RAKGsFE","2023-09-07T06:40:50Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"696","ANzDIh-15JQ","2023-09-07T19:01:14Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"697","hn0z_SyUsyo","2023-09-07T12:30:33Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"698","8MKEWZqmb_Y","2023-09-07T20:04:17Z","CBS News Sacramento","UCxZMOY2RdtK6LQUbIYgec4A"
"699","3oirSZj60ho","2023-09-07T20:00:02Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"700","T-_b1i8WlFA","2023-09-08T00:44:00Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g"
"701","arTrlf6qhzM","2023-09-08T01:18:05Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"702","4_qwweMAZH8","2023-09-08T15:30:01Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"703","hqiZQkjMqoo","2023-09-08T04:17:03Z","KCRA 3","UC-BSVXejMFhhml4V_VyoGxg"
"704","K2eevImhTqM","2023-09-08T14:15:01Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"705","LFDz09es7hw","2023-09-08T11:45:02Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"706","d9_aYXvUK9I","2023-09-08T11:59:11Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"707","xd5HuNegMWc","2023-09-09T05:17:20Z","News 4 Tucson KVOA-TV","UCs8cRivViWcNIx5arlnYXYg"
"708","h8MU1fl0rH0","2023-09-08T13:58:49Z","FOX 11 Los Angeles","UCHfF8wFnipMeDpJf8OmMxDg"
"709","c3FIUOTQ8YI","2023-09-09T00:30:13Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"710","CZ8EBlp5s7w","2023-09-09T14:00:12Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"711","u0O983Qpt-4","2023-09-09T01:23:28Z","News 4 Tucson KVOA-TV","UCs8cRivViWcNIx5arlnYXYg"
"712","_9y8i7hks80","2023-09-09T04:41:07Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g"
"713","Yfjw4R5k5yM","2023-09-09T23:09:30Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"714","COvO7ZNM0sM","2023-09-10T02:00:07Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"715","P0psB9vSz8I","2023-09-10T04:25:07Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"716","jgdDjBAmra0","2023-09-10T11:47:30Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"717","ZXDRx1rHSAs","2023-09-10T03:32:48Z","CTV News","UCi7Zk9baY1tvdlgxIML8MXg"
"718","dBDH9akG39o","2023-09-09T01:19:36Z","News 4 Tucson KVOA-TV","UCs8cRivViWcNIx5arlnYXYg"
"719","hklz3eDVAUE","2023-09-08T13:25:05Z","ABC7","UCVxBA3Cbu3pm8w8gEIoMEog"
"720","TSzm5kyc9uk","2023-09-08T15:00:23Z","TheDC Shorts","UCfDdlNLRVb1h3_7Xh-WhL3w"
"721","nLuJWG2kKn4","2023-09-11T11:15:03Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"722","JQ29WWKFYH4","2023-09-13T14:32:40Z","CHCH News","UCjkETDTi-OBxrN4z5lvaL5A"
"723","8CKkoz_O_kU","2023-09-12T22:30:38Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"724","ntPy5bzdy9I","2023-09-13T22:04:16Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"725","DTeBpNMLI-A","2023-09-15T06:25:59Z","ABC10","UCT350j4u6alUKyF9eu2bGug"
"726","eUjHkpDo9uk","2023-09-15T20:30:07Z","Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg"
"727",NA,NA,NA,NA
"728","BM9zz3XmLSY","2023-09-16T18:53:19Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"729","o78NIjiD1RU","2023-09-17T03:35:31Z","WAAY 31 News","UCpQiwFjomzBHJN-TpdLZxBg"
"730","Zs_r7tbPtw4","2023-09-17T23:11:41Z","ABC7 News Bay Area","UCYUbNjkuE4lsr2v1Id2O1oA"
"731","DAvxS-u4qXY","2023-09-19T16:41:20Z","KATC","UCI3h674Zg99ChgWd2GfG5cQ"
"732","SDISeKrc4cg","2023-09-19T18:29:07Z","KTVH Helena","UC9UDiDP8jlw1SMriSDM9PrQ"
"733","NtJVfRZNIZc","2023-09-19T17:00:28Z","Bounding Into Comics","UCvhRblHiU1XYF1OZITtfUiA"
"734","Ov0id2F92YE","2023-12-22T15:36:20Z","MyNBC5-WPTZ","UCO3KF4ZlaGjyels6A7riZug"
"735","AK2GB85XN1A","2023-12-22T14:25:27Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"736","sjpM_3M9_eY","2023-12-22T04:07:59Z","WSYX ABC 6","UC6HHWRGuLD11spg9DxKAZlQ"
"737","uFIEvX5Uozs","2023-12-21T19:44:57Z","CBS Austin","UCT2FAPpgWOGGXtpheDT6jkQ"
"738","n3M_rEvPet0","2023-12-21T23:29:46Z","KFOR Oklahoma's News 4","UCEUYiWFyzpEBMZ3aG7ud7xg"
"739","-ar_Jzk4r5k","2023-12-22T20:00:00Z","Aberdeen Football Club","UCPBQJlE7us7HqJHmgQgWw3Q"
"740","yqmUOJp6Xbw","2023-12-23T10:32:00Z","DawnNews","UCaxR-D8FjZ-2otbU0_Y2grg"
"741","aNYiOaafvMw","2023-12-23T03:50:31Z","KCRG-TV9: Your Trusted Local News Source","UCVg0ul_tJm6uNvTmZxEtXJA"
"742","-Asjwjf9bc4","2023-12-23T09:37:26Z","DawnNews","UCaxR-D8FjZ-2otbU0_Y2grg"
"743","zj1fZjdjLBk","2023-12-24T06:13:20Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"744","3tKp1MNz_74","2023-12-23T21:18:52Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"745","VLJAHX4YEFQ","2023-12-24T12:09:25Z","WTHR","UCSFLs1nwzqSC3Tq6cXhJkLg"
"746","7MsIOhQdxLM","2023-12-24T06:17:19Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"747","VqzIjB8LZy0","2023-12-24T13:56:51Z","NTVUganda","UCwga1dPCqBddbtq5KYRii2g"
"748","Lm_iDoDqXIk","2023-12-25T00:37:12Z","ABC15 Arizona","UCIVk1L1-JmpdiGuZcVjImtA"
"749","iB77nocr5Qs","2023-12-26T06:00:28Z","Geo News","UC_vt34wimdCzdkrzVejwX9g"
"750","OQivWeiyHUA","2023-12-26T17:15:49Z","ARY News","UCMmpLL2ucRHAXbNHiCPyIyg"
"751","9k3HtgMTPA4","2023-12-26T21:00:04Z","New York Post","UCrvhNP_lWuPIP6QZzJmM-bw"
"752","z4G4b3BXuzQ","2023-12-27T05:03:50Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"753","xRNfRWfn98s","2023-12-27T19:28:10Z","WVTM 13 News","UC7Vw6oq2LCbzAhdxF_UcIWg"
"754","n9J15h4CC1o","n9J15h4CC1o","n9J15h4CC1o","n9J15h4CC1o"
"755","5rEWSh59rdk","2023-12-29T05:21:15Z","Associated Press","UC52X5wxOL_s5yw0dQk7NtgA"
"756","ocsv_5dtKWE","2023-12-29T20:23:37Z","The Washington Examiner","UC8BxSGcBKriJvoeyKOnJ6tA"
"757","MJCVd0eqB2g","2023-12-29T18:14:03Z","Associated Press","UC52X5wxOL_s5yw0dQk7NtgA"
"758","vvs3E6hRDD0","2023-12-29T23:42:46Z","News 5 Cleveland","UCAAmkc2sRESFoEtiKRTaTRA"
"759","C1KH3jDpOD0","2023-12-29T23:34:56Z","WBNS 10TV","UCAKK8dbcSmckr2sWJhv5ezA"
"760","TTk_bIo44J8","2023-12-30T18:28:16Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"761","-xMlKcH6J88","2023-12-30T22:19:07Z","PBS NewsHour","UC6ZFN9Tx6xh-skXCuRHCDpQ"
"762","T1YE1TNX460","2023-12-31T12:07:25Z","WLWT","UCkr9qZ5tj9dGd7JvE3a8X4Q"
"763","Vhi7slQTkIo","2024-01-01T01:04:47Z","KWQC News","UCdAVIb4dBhAHhUaxfM5gAbg"
"764","hdjq2V6ADN4","2023-07-13T09:00:20Z","BOOM","UCunauRvuGMTUWkzIp20Goeg"
"765","v3IVGtuuzHM","2023-07-13T23:30:32Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"766","wKq2661uCXM","2023-07-13T19:44:02Z","C-SPAN","UCb--64Gl51jIEVE-GLDAVTg"
"767","u0FmO496c84","2023-07-14T15:29:47Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"768","SW9TnOn4xnE","2023-07-14T21:23:25Z","Toronto Sun","UCkjNuLzfw5Ep7EJuMdeFylw"
"769","3CWLjdQRxDg","2023-07-14T22:05:31Z","Associated Press","UC52X5wxOL_s5yw0dQk7NtgA"
"770","F4IWDXdAhW8","2023-07-15T16:30:02Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"771","Tk2YJAxaY_4","2023-07-16T20:13:48Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"772","bidKa2cSIyg","2023-07-16T17:11:19Z","Independent Women","UCg_s5BRCyjhOHbOyZQC3gDg"
"773","4Y2RsMPKPT8","2023-07-16T19:00:02Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"774","wXfAK0zpedo","2023-07-17T03:43:28Z","KMIZ ABC 17 News","UCxm4UwriiF_GYrWXmhe7J_g"
"775","fFH-JxPJY3w","2023-07-17T14:30:12Z","BOOM","UCunauRvuGMTUWkzIp20Goeg"
"776","Ba30OKie4tE","2023-07-17T22:10:00Z","KARE 11","UC1JAwKeDUjN2orv5t7LWODQ"
"777","PC7zZSSd1Hc","PC7zZSSd1Hc","PC7zZSSd1Hc","PC7zZSSd1Hc"
"778","ilG5CMqvmk4","2023-07-17T22:23:31Z","WBIR Channel 10","UCsefBCbI7P5Xr-edSOpbF4A"
"779","QfXY86k29gY","2023-07-18T12:54:26Z","FOX 2 Detroit","UCOGa-48fFt4cW0UnW5WSdRg"
"780","ZqcaktNWWII","2023-07-19T03:10:14Z","ABC 7 News - WJLA","UCfIjR00qhYUFkbWIugAAbGg"
"781","bH8K6KWlUlo","2023-07-19T11:22:54Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"782","E2fMlcA9-3g","2023-07-19T15:30:04Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"783","4Fkvhlke2Wo","2023-07-19T17:02:09Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"784","8Mb3LtKT4K8","2023-07-19T21:52:13Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"785","J4M_hh0OlnU","2023-07-19T22:20:11Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"786","Xx_XW9h0B0A","2023-07-20T12:53:15Z","First Coast News","UCJCdiZtw9zStiR3xgnp7qlg"
"787","DBgmE7cbJ48","2023-07-19T23:45:49Z","KTVE","UC0QyBVzPAb8qHPeUHLAHiUg"
"788","GJI2uYbJHWs","2023-07-20T09:26:35Z","AFP News Agency","UC86dbj-lbDks_hZ5gRKL49Q"
"789","sc6WRcGwr_E","2023-07-20T16:14:58Z","CNN","UCupvZG-5ko_eiXAupbDfxWw"
"790","TFtfywkIABA","2023-07-21T01:27:34Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"791","F1BkO4B3I5o","2023-07-21T05:17:24Z","CBS LA","UCkH1uDkyuO9sVjSqdqBygOg"
"792","B0yAkmY33c8","2023-07-21T05:12:44Z","FOX 11 Los Angeles","UCHfF8wFnipMeDpJf8OmMxDg"
"793","C58lQjZEbkQ","2023-07-21T06:04:03Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"794","XVqBnvNIwvM","2023-07-21T15:26:00Z","NBC4 Washington","UC1VKVKhJLc7PjdPPVxTDk0Q"
"795","jpzeniMGuoQ","2023-07-22T03:30:27Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"796","zNzm9RDa7uQ","2023-07-22T04:12:07Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g"
"797","XwS1UtrtxOo","2023-07-21T19:58:48Z","NBC 6 South Florida","UCBgcPSn61UQ4l_-FvcEgLQA"
"798","v9OvFKS1pDQ","2023-07-22T16:30:16Z","The Institute of Art and Ideas","UCTsiZiMomJo6FOyiBaFeaIw"
"799","yoYKf8vH3kQ","2023-07-22T05:23:53Z","CBS 8 San Diego","UCMscWako8oDvpdF4pppku-g"
"800","e2sVT0ZEOeY","2023-07-21T22:06:01Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"801","_p2Ont31LBM","2023-07-22T17:56:07Z","CNN","UCupvZG-5ko_eiXAupbDfxWw"
"802","ZO6DR8zzF0c","2023-07-22T05:30:07Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"803","li2Rcg2jlm0","2023-07-22T17:00:23Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"804","-L_aI5BnHkY","2023-07-22T17:45:00Z","Good Morning America","UCH1oRy1dINbMVp3UFWrKP0w"
"805","JpNe-GvESnQ","2023-07-23T16:34:26Z","Face the Nation","UC2x_qNZXKDxNP1j4jvHATRQ"
"806","tWOFkfSt-6M","2023-07-23T16:32:10Z","Face the Nation","UC2x_qNZXKDxNP1j4jvHATRQ"
"807","1BxMo6P97jQ","2023-07-24T01:17:43Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"808","8TvEB0h-hS4","2023-07-25T12:02:51Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"809","C4d-NCnIqGc","2023-07-25T14:12:54Z","Face the Nation","UC2x_qNZXKDxNP1j4jvHATRQ"
"810","XIVxSb8bPNA","2023-07-24T23:10:47Z","WHAS11","UCTvZcgH_rsvaGuZ8mU5jpnA"
"811","vVIktv8O2qs","2023-07-25T22:00:34Z","DW News","UCknLrEdhRCp1aegoMqRaCZg"
"812","g2yniQ5JRfs","2023-07-26T02:33:20Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"813","vYTuZiEjhbk","2023-07-26T22:22:03Z","WSLS 10","UCaFgN6V43Xo1pRjQ4PjlSqw"
"814","H6kBitWs1iY","2023-07-27T02:56:24Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"815","tmaw0t8b2E8","2023-07-28T04:40:25Z","FOX 2 Detroit","UCOGa-48fFt4cW0UnW5WSdRg"
"816","o4YmdjFUV48","2023-07-27T22:55:50Z","WSLS 10","UCaFgN6V43Xo1pRjQ4PjlSqw"
"817","lDuIzXB850I","2023-07-27T16:19:04Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"818","r8kwW5n5WwU","2023-07-27T22:30:10Z","Juno News","UC9jipu23ffJC0hYrX7Y8p_A"
"819","ltWJT6tug2o","2023-07-29T12:34:47Z","FOX Carolina News","UCEm0gdukLIfI9P-LzLy2DIQ"
"820","-UDiD7WrttY","2023-07-29T19:45:23Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"821","4wdc4RoXlVE","2023-07-30T17:30:00Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"822","U0GsaymObeI","2023-07-31T09:24:24Z","India Today","UCYPvAwZP8pZhSMW8qs7cVCw"
"823","ULE7vfZbPL8","2023-08-01T03:13:14Z","WLKY News Louisville","UCojNA7ZvnmGuIvYnm44wl3Q"
"824","t_JBtuHWuP8","2023-08-02T11:45:03Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"825","eR4-HybiiRI","2023-08-03T21:47:27Z","Rebel News","UCGy6uV7yqGWDeUWTZzT3ZEg"
"826","MN2sGOhcRPo","2023-08-06T00:27:15Z","ABC7","UCVxBA3Cbu3pm8w8gEIoMEog"
"827","BhWyo9iYQNE","2023-08-06T17:00:06Z","Peter Boghossian","UCzoizcjErP9bNWnuU2CbWxg"
"828","GOMtjJnHe0Q","2023-08-06T15:57:48Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"829","VfXPAYuKeRs","2023-08-07T20:40:13Z","NJ Spotlight News","UCa80ZoUUvKdOpuWN6khnWaA"
"830","9aJbt52OR-c","2023-08-08T08:55:38Z","midday india","UCLIMdoS-InL1-GIBUKSvydg"
"831","x84-qbFxEDI","2023-07-19T16:18:55Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"832","e1i74bRGZuI","2023-07-19T13:53:10Z","FOX 5 Washington DC","UCHLyP4MuA-JAFBCwxXOEDdA"
"833","oByFSyZVooY","2023-07-19T12:00:44Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"834","ilcU5OpO5Yc","2023-07-21T00:14:28Z","FOX 11 Los Angeles","UCHfF8wFnipMeDpJf8OmMxDg"
"835","-rZ94ek3xZE","2023-07-21T19:52:14Z","CBS News","UC8p1vwvWtl6T73JiExfWs1g"
"836","lbb2rpYOlWI","2023-07-21T19:55:20Z","NBC4 Washington","UC1VKVKhJLc7PjdPPVxTDk0Q"
"837","POI4tAedFME","2023-07-22T08:05:26Z","Firstpost","UCz8QaiQxApLq8sLNcszYyJw"
"838","3MdCELe4TEY","2023-07-23T02:59:22Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"839","-9uVNfm1QTo","2023-07-22T23:29:05Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"840","s_0aDHAnXXM","2023-07-23T01:00:19Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"841","lrkQDA9eMn4","2023-07-23T16:48:27Z","Face the Nation","UC2x_qNZXKDxNP1j4jvHATRQ"
"842","Vb-9e0uF_BA","2023-07-24T00:24:32Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"843","gMH4TPBJGVs","2023-07-27T13:53:30Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"844","DWgLmsvu9mk","2023-07-28T12:40:15Z","WQAD News 8","UCRlWXcripH3oV_v6uSb9ASw"
"845","BwCTmPZ4snk","2023-07-27T22:39:33Z","WTVR CBS 6","UC9ha3sh4YTCSK83dH6OlWTw"
"846","rWMMJeJ6RCw","2023-07-30T02:26:15Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"847","dmb1IWQpAag","2023-07-30T11:46:22Z","Samakal News","UCnetEdV8EwzGn36f3pq50ZA"
"848","KC_AQuIe0Lw","2023-07-31T11:00:27Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"849","mv3JwiB1DTs","2023-07-05T04:11:49Z","V6 News Telugu","UCDCMjD1XIAsCZsYHNMGVcog"
"850","GZ43YO5flXI","2023-07-05T12:36:45Z","The Hindu","UC3njZ48-FDxLleBYaP0SZIg"
"851","R4YKlwpIuM0","2023-07-05T15:30:13Z","Newsmax","UCx6h-dWzJ5NpAlja1YsApdg"
"852","A349s3mEMp8","2023-07-06T02:09:39Z","WFMY News 2","UC6UcjqhROKEWmz7aGzees9A"
"853","VBquccSzzxM","2023-07-06T10:00:32Z","CNN","UCupvZG-5ko_eiXAupbDfxWw"
"854","y6-Rr2zIp6U","2023-07-07T00:00:28Z","Tampa Bay 28","UCK0UUsCjtMRNtS3BPh1Yc4w"
"855","vRsBKA_QjUk","2023-07-06T21:45:35Z","10 Tampa Bay News","UCMYlXK0jyerVnc3dmz-vjCA"
"856","OKhopvJLVYU","2023-07-07T15:30:51Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"857","uYj9HJtoul4","2023-07-07T17:02:51Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"858","6donfsqHAWo","6donfsqHAWo","6donfsqHAWo","6donfsqHAWo"
"859","RPSQnY9xzgQ","2023-07-07T21:44:40Z","KOCO 5 News","UCoIhMkbeDRBImkGiA5mZp5A"
"860","7C8rmIz2EiA","2023-07-08T16:00:08Z","djvlad","UCg7lal8IC-xPyKfgH4rdUcA"
"861","dQor7UBhJ-U","2023-07-08T21:32:12Z","WJHL","UC1Gz1YkPBoLzQSBKbswBHAw"
"862","sSbWk-B_jKY","2023-07-09T01:56:55Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"863","YCX-Dpz3bHw","2023-07-09T12:17:27Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"864","IdhZq19awD4","2023-07-09T17:45:00Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"865","-ekY3V2zTmE","2023-07-09T20:18:43Z","CTV News","UCi7Zk9baY1tvdlgxIML8MXg"
"866","elRD4_ikqAA","2023-07-10T19:00:16Z","PBS","UCgyeJxD05YnoDquRMNBfBqw"
"867","OZBBWbKostA","2023-07-10T09:00:12Z","The News & Observer","UCASQzDb4SUC0gZNPbwBubIQ"
"868","K2KHcOpkzNM","2023-07-11T03:41:17Z","KSHB 41","UCzhtAFR4aiLOr8IWqA92-5w"
"869","tPeqYdGDVj0","2023-07-11T01:19:08Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"870","CfJpLgNN-9o","2023-07-11T20:54:47Z","The News & Observer","UCASQzDb4SUC0gZNPbwBubIQ"
"871","u1Za2yN4lcw","2023-07-12T13:45:12Z","Channel 4 News","UCTrQ7HXWRRxr7OsOtodr2_w"
"872","mFekPBzcFs0","2023-07-14T00:19:05Z","Reuters","UChqUTb7kYRX8-EiaN3XFrSQ"
"873","_5JkG3aBTc4","2023-07-14T02:17:50Z","KOIN 6","UCXN7rPhZK6Rp8lMhvpSri_Q"
"874","8jdenEaI2ss","2023-07-16T03:32:03Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"875","PV2az9pn8_I","2023-06-29T03:15:38Z","CBS New York","UCNZyLULUQBp5e9Q1cKtvk6Q"
"876","4EsX9lS-0iA","2023-06-28T22:39:59Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"877","TLLk5llNnb4","2023-06-29T22:09:34Z","News4JAX The Local Station","UC_YFbvKedjnVjqrZqBR4L8Q"
"878","TVALHxELlAw","2023-06-30T06:05:33Z","KTVU FOX 2 San Francisco","UCVhtkN7-c8mA8GXEoxS4YQw"
"879","5O-lAWvVLj4","2023-06-30T11:57:34Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"880","FIH8NsWrkEQ","2023-06-30T11:56:38Z","Guinness World Records","UCeSRjhfeeqIgr--AcP9qhyg"
"881","JRK0xIJqrrk","2023-06-30T19:07:17Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"882","Yj9ZNK1RA4w","2023-06-30T20:12:04Z","The Daily Signal","UCHqkXbgqrDrDVInBMSoGQgQ"
"883","Arxv7Qog_P0","2023-07-01T20:29:00Z","WSMV 4 Nashville","UCW3Vc0gEOccJrQC-a25nGdg"
"884","BZnx55u_EWE","2023-07-02T03:20:17Z","KSHB 41","UCzhtAFR4aiLOr8IWqA92-5w"
"885","s-GY_WFzT8s","2023-07-02T03:08:34Z","Associated Press","UC52X5wxOL_s5yw0dQk7NtgA"
"886","ZKUFOU13Ulw","2023-07-02T16:46:07Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"887","k4SL3sq96wA","2023-07-02T08:00:05Z","Vogue","UCRXiA3h1no_PFkb1JCP0yMA"
"888","De9rCiefJpU","2023-07-02T21:15:00Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"889","zACN2HKSqGY","2023-07-03T19:56:14Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"890","_LPcQdxTU5w","2023-07-03T19:00:13Z","djvlad","UCg7lal8IC-xPyKfgH4rdUcA"
"891","1z7jSdMGk-s","1z7jSdMGk-s","1z7jSdMGk-s","1z7jSdMGk-s"
"892","LS4QReLL3uE","2023-07-10T10:26:45Z","SHOWSHA","UCLnuTrdp3MBzo9ZPig5szbQ"
"893","K47hG_uBilU","2023-06-22T12:40:00Z","spiked","UCRK4_2FGAAmajCaB8ZefJHw"
"894","_VaPGNQklQc","2023-06-23T03:39:09Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"895","IAg5h1XUfc0","2023-06-23T21:42:43Z","CBS Boston","UCi4fcBVyo4CAnmdgXeO-NvA"
"896","reBuQoPfkZs","reBuQoPfkZs","reBuQoPfkZs","reBuQoPfkZs"
"897","dJO0JI3vT2I","2023-06-24T02:24:59Z","CBC News: The National","UCKjU3KzdbJE1EFcHVqXC3_g"
