"","EntryPublished","the_day","year","month","video_ID","posted_on_YT","channel name","yt_long_ID","EntryTitle","EntryURL","keyword","region","RSS"
"62","May 13, 2023 at 03:12PM","2023-05-13",2023,5,"-Jk-TVJnjTw","2023-05-13T13:00:00Z","Hodge Twins","UC4FhvdvgZU5CVbXi2uWgiZg","Transgender TikToker's Dumb Take On What Makes A Woman - YouTube","https://www.youtube.com/watch?v=-Jk-TVJnjTw","transgender","all regions",1916116072231156224
"63","May 13, 2023 at 03:12PM","2023-05-13",2023,5,"-Jk-TVJnjTw","2023-05-13T13:00:00Z","Hodge Twins","UC4FhvdvgZU5CVbXi2uWgiZg","Transgender TikToker's Dumb Take On What Makes A Woman - YouTube","https://www.youtube.com/watch?v=-Jk-TVJnjTw","transgender","USA",11193014132467406848
"64","July 23, 2023 at 09:51AM","2023-07-23",2023,7,"-L_aI5BnHkY","2023-07-22T17:45:00Z","Good Morning America","UCH1oRy1dINbMVp3UFWrKP0w","Kamala Harris blasts Florida's new education standards on Black history | GMA - YouTube","https://www.youtube.com/watch?v=-L_aI5BnHkY","gender identity","USA",4028362110021709824
"65","July 23, 2023 at 09:51AM","2023-07-23",2023,7,"-L_aI5BnHkY","2023-07-22T17:45:00Z","Good Morning America","UCH1oRy1dINbMVp3UFWrKP0w","Kamala Harris blasts Florida's new education standards on Black history | GMA - YouTube","https://www.youtube.com/watch?v=-L_aI5BnHkY","gender identity","all regions",14792114867614312448
"66","November 27, 2023 at 10:33AM","2023-11-27",2023,11,"-l2yWHfqXAU","2023-11-27T03:48:01Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","William and Kate found Harry and Meghan's South Park episode 'hilarious' - YouTube","https://www.youtube.com/watch?v=-l2yWHfqXAU","gender ideology","all regions",8717893479030415360
"67","November 11, 2023 at 03:36AM","2023-11-11",2023,11,"-lnpMnUbV9A","2023-11-11T06:00:00Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA","Week of Prayer: The Christian Institute - YouTube","https://www.youtube.com/watch?v=-lnpMnUbV9A","gender ideology","all regions",8717893479030415360
"68","December 21, 2023 at 12:21PM","2023-12-21",2023,12,"-mfX6adnxMg","2023-12-21T09:53:43Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","Transgender woman arrested for dumping soiled nappies at children's nurseries - YouTube","https://www.youtube.com/watch?v=-mfX6adnxMg","transgender","all regions",1916116072231156224
"69","August 12, 2023 at 02:29PM","2023-08-12",2023,8,"-N3PVA1JzK0","2023-08-12T17:29:58Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA","“This Ideology Is Based Upon Feelings Rather Than Facts” Says Journalist Jo Bartosch","https://www.youtube.com/watch?v=-N3PVA1JzK0","gender ideology","all regions",8717893479030415360
"70","June 22, 2023 at 11:10AM","2023-06-22",2023,6,"-nV8oeNlMm8","2023-06-22T15:05:25Z","CBN News","UCYI_ychRnL7sJrG6PUSBpQA","Americans Disagree on Transgenderism | CBN NewsWatch - June 22, 2023 - YouTube","https://www.youtube.com/watch?v=-nV8oeNlMm8","transgenderism","all regions",15658552694435684352
"71","June 04, 2023 at 06:46AM","2023-06-04",2023,6,"-oDv8HrTfTA","2023-06-03T19:09:29Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","Kathleen Stock Oxford Union protests interrupted by 'MEGALOMANIACS' says Peter Boghossian","https://www.youtube.com/watch?v=-oDv8HrTfTA","gender ideology","all regions",8717893479030415360
"72","July 22, 2023 at 09:48AM","2023-07-22",2023,7,"-rZ94ek3xZE","2023-07-21T19:52:14Z","CBS News","UC8p1vwvWtl6T73JiExfWs1g","Florida schools to teach ""personal benefit"" of slavery under new Black history curriculum","https://www.youtube.com/watch?v=-rZ94ek3xZE","gender identity","USA",4028362110021709824
"73","June 21, 2023 at 06:27PM","2023-06-21",2023,6,"-Sc-dpoFi70","2023-06-21T16:03:00Z","Senator Josh Hawley","UCMzt8xq6qQ3XQ_DlNfJx0-w","Sen. Hawley Questions Female Sports Advocate Riley Gaines On Competing Against ... - YouTube","https://www.youtube.com/watch?v=-Sc-dpoFi70","transgender","USA",11193014132467406848
"74","November 21, 2023 at 04:08AM","2023-11-21",2023,11,"-tC9L2MlXgA","2023-11-20T22:13:55Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","School should not be a vehicle to indoctrinate kids' | FURY over controversial trans kids book","https://www.youtube.com/watch?v=-tC9L2MlXgA","gender ideology","all regions",8717893479030415360
"75","July 29, 2023 at 03:57PM","2023-07-29",2023,7,"-UDiD7WrttY","2023-07-29T19:45:23Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg","Pence Pledges 'Ban On Transgender Personnel In The United States Military' At Key GOP Iowa Event","https://www.youtube.com/watch?v=-UDiD7WrttY","transgender","all regions",1916116072231156224
"76","July 29, 2023 at 04:41PM","2023-07-29",2023,7,"-UDiD7WrttY","2023-07-29T19:45:23Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg","Pence Pledges 'Ban On Transgender Personnel In The United States Military' At Key GOP Iowa Event","https://www.youtube.com/watch?v=-UDiD7WrttY","transgender","USA",11193014132467406848
"77","August 08, 2023 at 12:49PM","2023-08-08",2023,8,"-VZQ1oIgBrU","2023-08-08T03:00:00Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg","Mary Gay Scanlon Condemns GOP's 'Weaponization' Of Transgender Athletes ... - YouTube","https://www.youtube.com/watch?v=-VZQ1oIgBrU","transgenderism","all regions",15658552694435684352
"78","August 26, 2023 at 01:13PM","2023-08-26",2023,8,"-XjEYem22so","2023-08-25T21:25:48Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","UK politicians 'try to demonise people who oppose them!' | Patrick Christys - YouTube","https://www.youtube.com/watch?v=-XjEYem22so","gender ideology","all regions",8717893479030415360
"79","December 30, 2023 at 08:30PM","2023-12-30",2023,12,"-xMlKcH6J88","2023-12-30T22:19:07Z","PBS NewsHour","UC6ZFN9Tx6xh-skXCuRHCDpQ","What to know about Iowa's ban on school books, LGBTQ+ topics halted by a judge","https://www.youtube.com/watch?v=-xMlKcH6J88","gender identity","all regions",14792114867614312448
"80","May 19, 2023 at 02:57PM","2023-05-19",2023,5,"-y1zRdrUsqA","2023-05-19T18:56:45Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA","One in ten teens want to 'change gender' - YouTube","https://www.youtube.com/watch?v=-y1zRdrUsqA","gender ideology","all regions",8717893479030415360
"81","August 17, 2023 at 06:14PM","2023-08-17",2023,8,"03N3AAdNLAM","2023-08-17T21:36:39Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q","Cobb County School Board may decide teacher's fate who read gender identity book to class","https://www.youtube.com/watch?v=03N3AAdNLAM","gender identity","USA",4028362110021709824
"82","August 17, 2023 at 06:14PM","2023-08-17",2023,8,"03N3AAdNLAM","2023-08-17T21:36:39Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q","Cobb County School Board may decide teacher's fate who read gender identity book to class","https://www.youtube.com/watch?v=03N3AAdNLAM","gender identity","all regions",14792114867614312448
